,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
56207,49049010301,49,049,10301,3715,965,3715,1837,29,173,545,564,155,243,965,17,66,44,43,46,40,52,25,47,45,72,54,41,38,43,23,23,22,49,26,85,29,0,0,31997,976,866,414,86400
56208,49049010302,49,049,10302,520,161,520,316,8,34,95,60,28,56,161,10,8,0,8,8,0,0,0,0,6,8,7,18,15,0,14,8,10,18,0,17,6,0,0,38750,143,117,875,129200
56209,49049010400,49,049,10400,6250,1556,6250,2893,63,299,718,803,275,443,1556,52,120,62,44,41,32,53,81,88,33,98,75,88,93,110,47,26,47,93,64,127,45,7,13,34967,1555,1323,354,75800
56210,49049010500,49,049,10500,5848,1581,5848,2852,117,420,1038,675,292,235,1581,56,175,67,43,112,75,100,54,109,59,78,91,31,85,112,42,56,54,62,60,32,10,12,6,27489,1556,1319,363,58800
56211,49049010600,49,049,10600,1634,438,1634,788,83,122,294,176,63,42,438,15,34,20,44,31,32,27,11,33,17,31,9,22,28,10,21,13,4,11,8,15,0,2,0,25379,463,364,322,53200
56212,49049010793,49,049,10793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56213,49049010794,49,049,10794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56214,49049010795,49,049,10795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56215,49049010796,49,049,10796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56216,49049010797,49,049,10797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56217,49051992100,49,051,992100,2737,895,2737,1468,69,196,461,297,126,254,895,18,74,70,41,52,32,45,21,33,100,25,26,30,19,31,19,36,13,80,19,23,19,45,6,29037,807,642,410,66600
56218,49051992200,49,051,992200,2141,644,2141,1135,17,80,370,287,95,220,644,27,34,32,16,46,31,33,35,39,25,23,16,43,28,60,10,20,18,24,18,32,19,9,2,30435,632,511,430,76200
56219,49051992398,49,051,992398,1972,567,1972,1005,22,164,335,241,90,103,567,21,42,36,21,31,24,30,21,36,23,43,19,39,28,21,25,13,10,25,12,26,12,0,0,29837,578,473,347,77700
56220,49051992400,49,051,992400,3233,1080,3233,1764,49,304,647,397,129,197,1080,56,84,91,91,89,38,51,56,58,34,77,65,32,21,34,7,40,25,40,31,32,8,7,0,24286,1056,710,388,63600
56221,49051992500,49,051,992500,6,6,6,6,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5360,1,1,0,0
56222,49051992693,49,051,992693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56223,49051992694,49,051,992694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56224,49051992695,49,051,992695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56225,49051992696,49,051,992696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
